parameter,estimate
gamma_h,1.3835509218317068
rho1,4.470946113737955
rho2,4.800818156395222
lambda_home1,1.0962420095892107
lambda_away1,1.1974909446057938
lambda_homeBig,0.9335908423851874
lambda_awayBig,1.3501887274242528
mu_home1,1.1550403190046954
mu_away1,1.1436572349338916
mu_homeBig,1.2906156295813391
mu_awayBig,0.9156635324980622
xi1,0.4750007048249812
xi2,0.5548614639834146
