team,alpha_attack,beta_defence
Bengaluru,0.9328386533065157,1.1582242679126002
Chennaiyin,0.5924319146528317,1.5620902104541265
East Bengal,0.5796913578306191,1.5793836265402017
Goa,0.9250663044706138,1.61013898138746
Hyderabad,1.4251244050962246,1.0719359383656855
Jamshedpur,1.2732964658170909,0.8163479973517264
Kerala Blasters,1.1577969877202525,0.9412629580962862
Mohun Bagan Super Giant,1.187227341930406,1.125561595658479
Mumbai City,1.2126575243507667,1.3094414181356204
NorthEast United,0.7715994853126132,1.9459202063921146
Odisha,0.9422695595120663,1.916499852261759
