state,side,exposure,goals,goals_per_match
00,away,79.51222222222222,97,1.2199382345132126
lead_scored,away,54.01518518518518,99,1.8328179318572968
lead_conceded,away,4.245925925925926,7,1.648639218422889
behind_scored,away,4.824814814814815,8,1.6580947263376065
behind_conceded,away,76.47296296296298,84,1.0984274277522432
level_scored,away,12.734814814814818,20,1.5704979060027915
level_conceded,away,8.194074074074074,18,2.1967094557946125
00,home,79.51222222222222,138,1.7355822305445705
lead_scored,home,76.47296296296298,180,2.3537730594690927
lead_conceded,home,4.824814814814815,15,3.1089276118830123
behind_scored,home,4.245925925925926,1,0.235519888346127
behind_conceded,home,54.01518518518518,65,1.2033653087951948
level_scored,home,8.194074074074074,8,0.9763153136864944
level_conceded,home,12.734814814814818,15,1.1778734295020936
