state,side,exposure,goals,goals_per_match
00,away,137.18444444444444,150,1.0934184309850485
lead_scored,away,75.71759259259257,101,1.333904004891471
lead_conceded,away,3.9809259259259258,8,2.009582732474299
behind_scored,away,8.037222222222223,10,1.2442109628810396
behind_conceded,away,119.23611111111107,118,0.9896330809551547
level_scored,away,15.711481481481478,18,1.1456589896513523
level_conceded,away,20.132222222222214,23,1.14244715492025
00,home,137.18444444444444,205,1.494338522346233
lead_scored,home,119.23611111111107,230,1.9289458357600473
lead_conceded,home,8.037222222222223,21,2.612843022050183
behind_scored,home,3.9809259259259258,7,1.7583848909150115
behind_conceded,home,75.71759259259257,101,1.333904004891471
level_scored,home,20.132222222222214,28,1.390805232076826
level_conceded,home,15.711481481481478,23,1.463897597887839
