state,side,exposure,goals,goals_per_match
00,away,42.02833333333331,64,1.5227822500693986
lead_scored,away,39.26351851851852,72,1.8337633181305804
lead_conceded,away,1.2768518518518515,4,3.1327048585931845
behind_scored,away,2.2509259259259253,2,0.8885232414644182
behind_conceded,away,36.73092592592593,52,1.4157007668379151
level_scored,away,6.575370370370372,14,2.1291576308896834
level_conceded,away,3.8740740740740742,11,2.8393881453154877
00,home,42.02833333333331,66,1.5703691953840673
lead_scored,home,36.73092592592593,83,2.2596762239912875
lead_conceded,home,2.2509259259259253,3,1.3327848621966272
behind_scored,home,1.2768518518518515,3,2.3495286439448884
behind_conceded,home,39.26351851851852,40,1.0187573989614336
level_scored,home,3.8740740740740742,9,2.323135755258126
level_conceded,home,6.575370370370372,14,2.1291576308896834
