parameter,estimate
gamma_h,1.0849360007377786
rho1,3.8738619394637266
rho2,5.638383322756257
thetaH_lead_scored,0.5191710541614122
thetaH_lead_conceded,0.05348074374807844
thetaH_behind_scored,1.6718617407628373
thetaH_behind_conceded,0.6370829288137239
thetaH_level_scored,1.5140901670185614
thetaH_level_conceded,1.7116406775490425
thetaA_lead_scored,0.5882411128148607
thetaA_lead_conceded,0.43778712775461925
thetaA_behind_scored,1.8499702468006736
thetaA_behind_conceded,0.8772640539317185
thetaA_level_scored,0.9390754534919741
thetaA_level_conceded,0.23684486596243784
xi1,0.5032980611805167
xi2,-0.10546225532382991
