state,side,exposure,goals,goals_per_match
00,away,153.21388888888882,153,0.9986039849883066
lead_scored,away,73.02981481481478,92,1.2597594589728704
lead_conceded,away,4.369259259259259,12,2.74646096465203
behind_scored,away,6.774629629629629,8,1.1808763633381625
behind_conceded,away,103.87907407407407,114,1.0974298819674586
level_scored,away,17.875740740740742,20,1.1188347543225352
level_conceded,away,20.857592592592592,21,1.006827605188625
00,home,153.21388888888882,196,1.2792573925340398
lead_scored,home,103.87907407407407,178,1.7135308683351547
lead_conceded,home,6.774629629629629,9,1.3284859087554328
behind_scored,home,4.369259259259259,8,1.8309739764346868
behind_conceded,home,73.02981481481478,112,1.5336202109234947
level_scored,home,20.857592592592592,29,1.3903809785938153
level_conceded,home,17.875740740740742,27,1.5104269183354224
