state,side,exposure,goals,goals_per_match
00,away,161.75129629629626,152,0.9397142618354426
lead_scored,away,74.67055555555558,102,1.3660002827233697
lead_conceded,away,5.137777777777777,6,1.1678200692041525
behind_scored,away,6.2609259259259264,5,0.7986039220325948
behind_conceded,away,99.76259259259251,103,1.0324511154258822
level_scored,away,13.741851851851846,19,1.3826375225722993
level_conceded,away,15.674999999999999,19,1.2121212121212122
00,home,161.75129629629626,191,1.1808251579642732
lead_scored,home,99.76259259259251,181,1.8143072999231524
lead_conceded,home,6.2609259259259264,12,1.9166494128782274
behind_scored,home,5.137777777777777,9,1.7517301038062285
behind_conceded,home,74.67055555555558,107,1.4329610808960838
level_scored,home,15.674999999999999,20,1.2759170653907497
level_conceded,home,13.741851851851846,23,1.6737191062717307
