parameter,estimate
gamma_h,1.1636419012459251
rho1,2.572896000256666
rho2,4.835085871708458
theta_lead_scored,0.9792354586473299
theta_lead_conceded,1.3985639362530466
theta_behind_scored,3.058418779270412
theta_behind_conceded,0.9175723436819346
theta_level_scored,0.5663201827164853
theta_level_conceded,0.7425410843300381
xi1,-0.19310661039235524
xi2,0.1872316327180461
