state,side,exposure,goals,goals_per_match
00,away,37.135555555555534,53,1.427203638322064
lead_scored,away,29.59,69,2.331868874619804
lead_conceded,away,1.2307407407407407,3,2.4375564249172434
behind_scored,away,2.0798148148148146,3,1.4424361143264182
behind_conceded,away,28.33981481481482,27,0.9527232332472962
level_scored,away,4.098148148148148,8,1.9521012200632626
level_conceded,away,4.525925925925926,8,1.7675941080196398
00,home,37.135555555555534,47,1.2656334151157926
lead_scored,home,28.33981481481482,58,2.0465906491978956
lead_conceded,home,2.0798148148148146,2,0.961624076217612
behind_scored,home,1.2307407407407407,2,1.6250376166114957
behind_conceded,home,29.59,27,0.9124704291990537
level_scored,home,4.525925925925926,9,1.9885433715220948
level_conceded,home,4.098148148148148,7,1.7080885675553548
