parameter,estimate
gamma_h,1.1636419014831931
rho1,2.5710726326475273
rho2,4.905829741341256
thetaH_lead_scored,1.0382974249281465
thetaH_lead_conceded,1.0054525146253455
thetaH_behind_scored,4.610130576944775
thetaH_behind_conceded,0.9208791143864928
thetaH_level_scored,0.7438605775674633
thetaH_level_conceded,0.6615481052762899
thetaA_lead_scored,0.877827677907468
thetaA_lead_conceded,2.683145509677183
thetaA_behind_scored,2.1689289482329968
thetaA_behind_conceded,0.8678763426147513
thetaA_level_scored,0.2460071638177178
thetaA_level_conceded,0.8828439697663839
xi1,-0.19380253271641523
xi2,0.2914749784871154
