parameter,estimate
gamma_h,1.150236593104864
rho1,1.1561810972712592
rho2,5.466543233811236
thetaH_lead_scored,0.9119695688427385
thetaH_lead_conceded,0.6744018571780924
thetaH_behind_scored,1.1953390169210596
thetaH_behind_conceded,1.022963762150572
thetaH_level_scored,1.3506028485106303
thetaH_level_conceded,1.1126853131017111
thetaA_lead_scored,1.0415963413770357
thetaA_lead_conceded,1.067223769802155
thetaA_behind_scored,1.233524935180689
thetaA_behind_conceded,1.1197649984009148
thetaA_level_scored,1.7408690746481124
thetaA_level_conceded,1.2450761525138145
xi1,-0.3280240352999083
xi2,0.1275603582227823
